scenario,seed,safety_multiplier,fixed_mean_lead,stochastic_cost,fixed_mean_cost,cost_difference,gap_fraction,stochastic_completion_service_level,fixed_completion_service_level,stochastic_patients_lost,fixed_patients_lost,rng_end_state_match
routing_abrupt_regime_shift,99200021,1.25,2,2082563165.703039,2080831386.864208,1731778.8388309479,0.0008322533242064948,0.5641741071428571,0.5641741071428571,1763.0,1763.0,True
routing_abrupt_regime_shift,99200022,1.25,2,2092787305.6643288,2084647787.5246313,8139518.139697552,0.0039045052063028077,0.5495495495495496,0.5514264264264265,1833.0,1833.0,True
routing_abrupt_regime_shift,99200023,1.25,2,2133713475.0717711,2134337583.457967,-624108.386195898,-0.0002924131548040976,0.5575780089153046,0.5575780089153046,1815.0,1817.0,True
routing_compound_regional_stress,99200000,1.25,2,3545270148.9831915,3537019245.571284,8250903.411907673,0.002332727881602189,0.4126066213676449,0.4126066213676449,3288.0,3288.0,True
routing_compound_regional_stress,99200001,1.25,2,4318706206.480974,4280306588.1865087,38399618.29446554,0.008971230799318698,0.3543033061169857,0.35965734172132247,4062.0,4021.0,True
routing_compound_regional_stress,99200002,1.25,2,4161047102.8023176,4158096759.7304287,2950343.0718889236,0.0007095417067880344,0.3695972166465944,0.3694634015790178,3856.0,3857.0,True
routing_compound_regional_stress,99200003,1.25,2,3614950433.9101768,3616902256.198588,-1951822.2884111404,-0.0005396392133810471,0.3978055985370657,0.39752426501617666,3335.0,3335.0,True
routing_compound_regional_stress,99200004,1.25,2,3968145002.9126983,3958654110.027962,9490892.884736061,0.0023975049653097934,0.3870662886458755,0.38760631834750914,3692.0,3691.0,True
routing_compound_regional_stress,99200005,1.25,2,3549112368.6941237,3577761564.3998923,-28649195.705768585,-0.008007575460265193,0.4035956964892412,0.3979331823329558,3213.0,3259.0,True
routing_compound_regional_stress,99200006,1.25,2,3678530547.9701147,3664241036.5440373,14289511.426077366,0.003899719282537879,0.39391365888181173,0.39391365888181173,3404.0,3406.0,True
routing_compound_regional_stress,99200007,1.25,2,3992429702.6284766,3978364548.455564,14065154.172912598,0.0035354110970983827,0.37350227241426803,0.3741908827985126,3730.0,3731.0,True
routing_compound_regional_stress,99200008,1.25,2,3349913808.3275895,3348042599.784913,1871208.5426764488,0.0005588962765278614,0.4217646174658049,0.4217646174658049,3122.0,3122.0,True
