training_seed,scenario,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,total_cost,true_cost_advantage,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
60,routing_persistent_hotspot_cluster1,43,4,4,98004300,3,0,mdl2,193572673.67401633,0.0,0.5331574902373372,165.33333333333334,0.05722260990928122
60,routing_persistent_hotspot_cluster1,43,4,4,98004300,3,1,specimen_transfer:+1x0.05,193906284.60596976,-333610.9319534302,0.5323388223060707,165.66666666666666,0.0575715282623866
60,routing_persistent_hotspot_cluster1,43,4,4,98004300,3,2,specimen_transfer:-1x0.05,194554950.1588099,-982276.4847935736,0.5323388223060707,166.66666666666666,0.05722260990928122
60,routing_persistent_hotspot_cluster1,43,4,4,98004300,3,3,specimen_transfer:+1x0.1,193668860.95758477,-96187.28356844187,0.5323388223060707,164.66666666666666,0.0575715282623866
60,routing_persistent_hotspot_cluster1,43,4,4,98004300,3,4,specimen_transfer:-1x0.1,194050924.04581037,-478250.371794045,0.532134155323254,165.66666666666666,0.05687369155617585
60,routing_persistent_hotspot_cluster1,43,remaining,9,98004310,3,0,mdl2,497401711.8872972,0.0,0.516265944976575,397.3333333333333,0.058428562646655524
60,routing_persistent_hotspot_cluster1,43,remaining,9,98004310,3,1,specimen_transfer:+1x0.05,498618311.40200144,-1216599.5147042274,0.5159640209945846,397.6666666666667,0.058959439367770726
60,routing_persistent_hotspot_cluster1,43,remaining,9,98004310,3,2,specimen_transfer:-1x0.05,498416478.29440355,-1014766.4071063399,0.5160833242634942,398.3333333333333,0.05874966382759871
60,routing_persistent_hotspot_cluster1,43,remaining,9,98004310,3,3,specimen_transfer:+1x0.1,498223431.17133135,-821719.284034133,0.5159640209945846,396.3333333333333,0.058959439367770726
60,routing_persistent_hotspot_cluster1,43,remaining,9,98004310,3,4,specimen_transfer:-1x0.1,498666195.78702635,-1264483.8997291327,0.516142975897949,399.3333333333333,0.05855194252772406
60,routing_persistent_hotspot_cluster1,51,4,1,98005100,3,0,mdl2,49992087.0309184,0.0,0.5271089873185076,35.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,4,1,98005100,3,1,specimen_transfer:+1x0.05,49744671.18394899,247415.84696940333,0.5271089873185076,35.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,4,1,98005100,3,2,specimen_transfer:-1x0.05,50394831.283948995,-402744.25303059816,0.5271089873185076,36.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,4,1,98005100,3,3,specimen_transfer:+1x0.1,48948123.87496372,1043963.1559546739,0.5271089873185076,34.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,4,1,98005100,3,4,specimen_transfer:-1x0.1,50697963.77496371,-705876.7440453097,0.5271089873185076,37.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,remaining,1,98005110,3,0,mdl2,49992087.0309184,0.0,0.5271089873185076,35.0,0.05795275590551182
60,routing_persistent_hotspot_cluster1,51,remaining,1,98005110,3,1,specimen_transfer:+1x0.05,49744671.18394899,247415.84696940333,0.5271089873185076,35.0,0.05795275590551182
