role,checkpoint_variant,training_seed,scenario,step,configured_horizon,candidate_index,candidate_label,executed_action_id,policy_executed_action_id,policy_candidate_index,true_cost_advantage,true_best_index,critic_q,critic_best_index,gradient_score,gradient_best_index,policy_linf_to_candidate
control,episode25,60,routing_persistent_hotspot_cluster1,6,4,2,specimen_transfer:-1x0.05,40b568be3ff95b7c,06718b61e3f46d75,0,-277241.48847156763,3,-1.5518356561660767,3,-0.0002301140339113772,3,0.05000000074505806
control,episode25,60,routing_persistent_hotspot_cluster1,6,4,3,specimen_transfer:+1x0.1,4cd0a6ba61ec5518,06718b61e3f46d75,0,1843803.9121707678,3,-1.5516380071640015,3,0.0004602280678227544,3,0.10000000149011612
control,episode25,60,routing_persistent_hotspot_cluster1,6,4,4,specimen_transfer:-1x0.1,75cdbd8aa21b44d6,06718b61e3f46d75,0,243052.3102708757,3,-1.5526955127716064,3,-0.00046022795140743256,3,0.10000000149011612
control,episode25,60,routing_persistent_hotspot_cluster1,6,remaining,0,mdl2,06718b61e3f46d75,06718b61e3f46d75,0,0.0,0,-1.553063988685608,3,0.0,3,0.0
control,episode25,60,routing_persistent_hotspot_cluster1,6,remaining,1,specimen_transfer:+1x0.05,c25379922d61431c,06718b61e3f46d75,0,-3226020.7428512573,0,-1.5532983541488647,3,0.00023011380108073354,3,0.05000000074505806
control,episode25,60,routing_persistent_hotspot_cluster1,6,remaining,2,specimen_transfer:-1x0.05,40b568be3ff95b7c,06718b61e3f46d75,0,-4543505.9655947685,0,-1.5518356561660767,3,-0.0002301140339113772,3,0.05000000074505806
control,episode25,60,routing_persistent_hotspot_cluster1,6,remaining,3,specimen_transfer:+1x0.1,4cd0a6ba61ec5518,06718b61e3f46d75,0,-7240593.3448290825,0,-1.5516380071640015,3,0.0004602280678227544,3,0.10000000149011612
control,episode25,60,routing_persistent_hotspot_cluster1,6,remaining,4,specimen_transfer:-1x0.1,75cdbd8aa21b44d6,06718b61e3f46d75,0,-8958140.119009972,0,-1.5526955127716064,3,-0.00046022795140743256,3,0.10000000149011612
control,episode25,60,routing_persistent_hotspot_cluster1,12,4,0,mdl2,d685d32f6c2e567a,d685d32f6c2e567a,0,0.0,3,-2.1967225074768066,3,0.0,3,0.0
control,episode25,60,routing_persistent_hotspot_cluster1,12,4,1,specimen_transfer:+1x0.05,363b5856c57c75a6,d685d32f6c2e567a,0,1989664.6847388744,3,-2.1934449672698975,3,0.003024658188223839,3,0.05000000074505806
