phase,state_index,state_id,scenario,generation_seed,epoch,world_seed,candidate,budget_fraction,smoothing,total_cost,patients_lost,completion_service_level,request_total,allocation_signature,shared_budget,local_interior_fraction,shared_budget_interior,rng_sha256
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b0.75_a0.25,0.75,0.25,611215378.9964938,459.0,0.5057316250842886,23.625000303983686,"0.061,0.059,0.060,0.069,0.076,0.036,0.024,0.024,0.033,0.028,0.044,0.043,0.042,0.038,0.037,0.017,0.015,0.014,0.016,0.012",31.500000000000007,1.0,True,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b0.75_a0.50,0.75,0.5,610655498.9302807,458.0,0.5057316250842886,23.624999928474427,"0.061,0.061,0.063,0.065,0.068,0.044,0.026,0.022,0.034,0.032,0.038,0.041,0.038,0.036,0.036,0.023,0.017,0.017,0.015,0.013",31.500000000000007,1.0,True,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b0.75_a0.75,0.75,0.75,610098931.4409354,457.0,0.5060687795010115,23.62500005364418,"0.062,0.062,0.066,0.061,0.061,0.052,0.027,0.021,0.035,0.035,0.032,0.038,0.034,0.034,0.034,0.029,0.019,0.020,0.013,0.013",31.500000000000007,1.0,True,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b0.75_a1.00,0.75,1.0,610668144.5438864,458.0,0.5060687795010115,23.624999749660493,"0.063,0.064,0.069,0.058,0.053,0.060,0.029,0.020,0.036,0.038,0.025,0.036,0.030,0.032,0.033,0.035,0.020,0.023,0.012,0.014",31.500000000000007,1.0,True,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b1.00_a0.00,1.0,0.0,610176779.2734705,456.0,0.5074173971679029,31.49999989271164,"0.082,0.079,0.078,0.095,0.095,0.039,0.031,0.034,0.044,0.034,0.068,0.062,0.063,0.055,0.053,0.016,0.017,0.015,0.023,0.016",31.500000000000007,0.9,True,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b1.00_a0.25,1.0,0.25,609100872.1302053,454.0,0.5077545515846258,31.50000000000001,"0.082,0.080,0.080,0.093,0.095,0.049,0.033,0.032,0.044,0.038,0.058,0.058,0.057,0.051,0.050,0.023,0.020,0.019,0.021,0.017",31.500000000000007,0.95,False,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b1.00_a0.50,1.0,0.5,609556539.5705343,455.0,0.5074173971679029,31.50000000000001,"0.082,0.081,0.084,0.087,0.091,0.059,0.034,0.030,0.045,0.042,0.050,0.054,0.051,0.048,0.048,0.031,0.022,0.023,0.020,0.017",31.500000000000007,1.0,False,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b1.00_a0.75,1.0,0.75,609499557.7031052,455.0,0.5074173971679029,31.5,"0.083,0.083,0.088,0.082,0.081,0.069,0.036,0.028,0.047,0.047,0.042,0.051,0.046,0.046,0.046,0.039,0.025,0.027,0.018,0.018",31.500000000000007,1.0,False,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b1.00_a1.00,1.0,1.0,609461703.6085784,455.0,0.5074173971679029,31.500000000000014,"0.084,0.085,0.092,0.077,0.071,0.080,0.038,0.026,0.048,0.051,0.034,0.048,0.040,0.043,0.044,0.046,0.027,0.031,0.016,0.018",31.500000000000007,1.0,False,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410005,b0.75_a0.00,0.75,0.0,582303588.5259743,443.0,0.512388162422574,23.624999678134923,"0.060,0.058,0.057,0.073,0.084,0.028,0.023,0.025,0.032,0.025,0.050,0.045,0.046,0.040,0.039,0.012,0.013,0.011,0.017,0.012",31.500000000000007,1.0,True,4ecfe9f3b1d96940cc42779e453265558470430be075417c8c7a7e8222849cb0
