training_seed,scenario,step,configured_horizon,horizon,candidate_index,candidate_label,executed_action_id,discovery_seed_start,discovery_replications,discovery_total_cost,discovery_cost_advantage,validation_seed_start,validation_replications,validation_total_cost,validation_cost_advantage
60,routing_persistent_hotspot_cluster1,8,4,4,4,specimen_transfer:-1x0.1,08b35530fab30717,103000800,3,157275202.9111643,-3886740.2728580832,107000800,5,155466727.779409,-4564611.042180508
60,routing_persistent_hotspot_cluster1,8,remaining,44,0,mdl2,bb9a6fb33308092d,103000810,3,2302250653.224935,0.0,107000810,5,2485424229.210824,0.0
60,routing_persistent_hotspot_cluster1,8,remaining,44,1,specimen_transfer:+1x0.05,fa8f126d08e64718,103000810,3,2300166916.6932764,2083736.5316586494,107000810,5,2482113094.081543,3311135.129281044
60,routing_persistent_hotspot_cluster1,8,remaining,44,2,specimen_transfer:-1x0.05,19808574ce1fa420,103000810,3,2310783068.7526197,-8532415.527684689,107000810,5,2495297583.4960685,-9873354.285244465
60,routing_persistent_hotspot_cluster1,8,remaining,44,3,specimen_transfer:+1x0.1,b1ea5c022a92b6cd,103000810,3,2302096913.0437136,153740.18122148514,107000810,5,2479546666.557733,5877562.653090954
60,routing_persistent_hotspot_cluster1,8,remaining,44,4,specimen_transfer:-1x0.1,08b35530fab30717,103000810,3,2340426078.303232,-38175425.07829714,107000810,5,2517363281.020431,-31939051.80960703
60,routing_persistent_hotspot_cluster1,9,4,4,0,mdl2,1832815ac41ccd5b,103000900,3,178802789.31063154,0.0,107000900,5,176754366.65376496,0.0
60,routing_persistent_hotspot_cluster1,9,4,4,1,specimen_transfer:+1x0.05,2fc6158627136b28,103000900,3,177794194.78019464,1008594.5304369032,107000900,5,176559927.7402324,194438.9135325551
60,routing_persistent_hotspot_cluster1,9,4,4,2,specimen_transfer:-1x0.05,c0e22b4164b5b12f,103000900,3,178375831.10664353,426958.20398801565,107000900,5,176882346.47272056,-127979.81895560026
60,routing_persistent_hotspot_cluster1,9,4,4,3,specimen_transfer:+1x0.1,06d48a5a3a4fd940,103000900,3,173627304.7094455,5175484.601186037,107000900,5,173383452.51951548,3370914.1342494786
60,routing_persistent_hotspot_cluster1,9,4,4,4,specimen_transfer:-1x0.1,c5d7b1c9e73a411e,103000900,3,179543695.9728919,-740906.6622603536,107000900,5,178539987.6203445,-1785620.9665795267
60,routing_persistent_hotspot_cluster1,9,remaining,43,0,mdl2,1832815ac41ccd5b,103000910,3,2493221207.34396,0.0,107000910,5,2478966157.683718,0.0
60,routing_persistent_hotspot_cluster1,9,remaining,43,1,specimen_transfer:+1x0.05,2fc6158627136b28,103000910,3,2499089140.4919624,-5867933.1480026245,107000910,5,2480632360.9486375,-1666203.264919281
60,routing_persistent_hotspot_cluster1,9,remaining,43,2,specimen_transfer:-1x0.05,c0e22b4164b5b12f,103000910,3,2494864081.7415633,-1642874.3976035118,107000910,5,2486603371.5702934,-7637213.886575222
60,routing_persistent_hotspot_cluster1,9,remaining,43,3,specimen_transfer:+1x0.1,06d48a5a3a4fd940,103000910,3,2494118648.085998,-897440.74203825,107000910,5,2483943775.6915784,-4977618.007860184
60,routing_persistent_hotspot_cluster1,9,remaining,43,4,specimen_transfer:-1x0.1,c5d7b1c9e73a411e,103000910,3,2545277444.326434,-52056236.98247433,107000910,5,2527876396.3347907,-48910238.6510725
60,routing_persistent_hotspot_cluster1,10,4,4,0,mdl2,5c9d9f0a67c87fe9,103001000,3,190329260.25799155,0.0,107001000,5,192421995.29820627,0.0
60,routing_persistent_hotspot_cluster1,10,4,4,1,specimen_transfer:+1x0.05,1bd552a1e421330d,103001000,3,189943403.3716496,385856.88634195924,107001000,5,192352729.06476882,69266.23343744874
60,routing_persistent_hotspot_cluster1,10,4,4,2,specimen_transfer:-1x0.05,dbb673d49c540f0f,103001000,3,191307790.27045712,-978530.0124655664,107001000,5,193590841.2389524,-1168845.9407461286
60,routing_persistent_hotspot_cluster1,10,4,4,3,specimen_transfer:+1x0.1,4655ff88126e2a0e,103001000,3,186944188.65777707,3385071.6002144814,107001000,5,190072566.87266862,2349428.425537646
60,routing_persistent_hotspot_cluster1,10,4,4,4,specimen_transfer:-1x0.1,04004c92cc5d4a6a,103001000,3,193084968.36144558,-2755708.1034540236,107001000,5,195952031.22493708,-3530035.9267308116
60,routing_persistent_hotspot_cluster1,10,remaining,42,0,mdl2,5c9d9f0a67c87fe9,103001010,3,2376626653.545098,0.0,107001010,5,2561471877.2681,0.0
60,routing_persistent_hotspot_cluster1,10,remaining,42,1,specimen_transfer:+1x0.05,1bd552a1e421330d,103001010,3,2378899002.690268,-2272349.145170212,107001010,5,2565245842.512286,-3773965.2441864014
